code,name,description,unit_code,unit_name,unit_sigla,is_active
64022090,Los demás,Los demás,17,PAR,2U,true
64029110,Con parte superior y suela de caucho,Con parte superior y suela de caucho,17,PAR,2U,true
64029120,Con parte superior y suela de plástico,Con parte superior y suela de plástico,17,PAR,2U,true
64029130,Con parte superior de caucho y suela de plástico,Con parte superior de caucho y suela de plástico,17,PAR,2U,true
64029190,Los demás,Los demás,17,PAR,2U,true
64029911,Con plantilla de longitud inferior a 24 cm,Con plantilla de longitud inferior a 24 cm,17,PAR,2U,true
64029912,"Para hombres, con plantilla de longitud superior o igual a 24 cm","Para hombres, con plantilla de longitud superior o igual a 24 cm",17,PAR,2U,true
64029913,"Para mujeres, con plantilla de longitud superior o igual a 24 cm","Para mujeres, con plantilla de longitud superior o igual a 24 cm",17,PAR,2U,true
64029991,Con plantilla de longitud inferior a 24 cm,Con plantilla de longitud inferior a 24 cm,17,PAR,2U,true
64029992,"Para hombres, con plantilla de longitud superior o igual a 24 cm","Para hombres, con plantilla de longitud superior o igual a 24 cm",17,PAR,2U,true
64029993,"Para mujeres, con plantilla de longitud superior o igual a 24 cm","Para mujeres, con plantilla de longitud superior o igual a 24 cm",17,PAR,2U,true
64031200,Calzado de esquí y calzado para la práctica de «snowboard» (tabla para nieve),Calzado de esquí y calzado para la práctica de «snowboard» (tabla para nieve),17,PAR,2U,true
64031910,"Para cabalgata, golf, caminata, montañismo, curling, bowling, skating o training","Para cabalgata, golf, caminata, montañismo, curling, bowling, skating o training",17,PAR,2U,true
64031920,"Para soccer, otro tipo de football o baseball","Para soccer, otro tipo de football o baseball",17,PAR,2U,true
64031990,Los demás,Los demás,17,PAR,2U,true
64032000,Calzado con suela de cuero natural y parte superior de tiras de cuero natural que pasan por el empei,Calzado con suela de cuero natural y parte superior de tiras de cuero natural que pasan por el empeine y rodean el dedo gordo,17,PAR,2U,true
64034000,"Los demás calzados, con puntera metálica de protección","Los demás calzados, con puntera metálica de protección",17,PAR,2U,true
64035110,Con plantilla de longitud inferior a 24 cm,Con plantilla de longitud inferior a 24 cm,17,PAR,2U,true
64035121,Para hombres,Para hombres,17,PAR,2U,true
